id,styr,stname,stabbr,stfips,year,rml,prcng,mml,mml_year,years_since_mml,rmlsl,regag,lcauth,edib,conc,hemp,rtl,pblus,pblus2,mmlhc,rmlhc,mmlout,hmdl,hmdl2,pkr,warnr,warnthc,warnsize,adgn,adyth,undrg,undrg2,drvpr,drvpr2,drvpr3,opncn,opncn2,tax,tax2,thclim,estlm,pkwrn
4,AK2016,Alaska,AK,2,2016,1,0,1,1998,18,0,1,2,2,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,5,2,2,2,1,1,0,1,2,0,0,0
8,AK2020,Alaska,AK,2,2020,1,1,1,1998,22,1,1,2,2,2,3,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1
2,AK2014,Alaska,AK,2,2014,0,0,1,1998,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,AK2023,Alaska,AK,2,2023,1,1,1,1998,25,1,1,2,2,2,3,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1
3,AK2015,Alaska,AK,2,2015,0,0,1,1998,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AK2017,Alaska,AK,2,2017,1,1,1,1998,19,1,1,2,2,2,0,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1
12,AK2024,Alaska,AK,2,2024,1,1,1,1998,26,1,1,2,2,2,3,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1
10,AK2022,Alaska,AK,2,2022,1,1,1,1998,24,1,1,2,2,2,3,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1
7,AK2019,Alaska,AK,2,2019,1,1,1,1998,21,1,1,2,2,2,3,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1
1,AK2013,Alaska,AK,2,2013,0,0,1,1998,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AK2018,Alaska,AK,2,2018,1,1,1,1998,20,1,1,2,2,2,0,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1
9,AK2021,Alaska,AK,2,2021,1,1,1,1998,23,1,1,2,2,2,3,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1
