stname,stabbr,stfips,year,rml,prcng,mml,mml_year,years_since_mml,rmlsl,regag,lcauth,edib,conc,hemp,rtl,pblus,pblus2,mmlhc,rmlhc,mmlout,hmdl,hmdl2,pkr,warnr,warnthc,warnsize,adgn,adyth,undrg,undrg2,drvpr,drvpr2,drvpr3,opncn,opncn2,tax,tax2,thclim,estlm,pkwrn,id,styr
Alaska,AK,2,2020,1,1,1,1998,22,1,1,2,2,2,3,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1,AK2020,1
Alaska,AK,2,2023,1,1,1,1998,25,1,1,2,2,2,3,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1,AK2023,4
Alaska,AK,2,2024,1,1,1,1998,26,1,1,2,2,2,3,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1,AK2024,5
Alaska,AK,2,2022,1,1,1,1998,24,1,1,2,2,2,3,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1,AK2022,3
Alaska,AK,2,2021,1,1,1,1998,23,1,1,2,2,2,3,2,1,0,0,1,0,2,1,2,2,2,2,2,2,5,2,2,2,1,1,0,1,2,1,0,1,AK2021,2
Alabama,AL,1,2024,0,0,1,2021,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL2024,10
Alabama,AL,1,2023,0,0,1,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL2023,9
Alabama,AL,1,2020,0,0,0,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL2020,6
Alabama,AL,1,2022,0,0,1,2021,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL2022,8
Alabama,AL,1,2021,0,0,0,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL2021,7
Arkansas,AR,5,2021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR2021,12
Arkansas,AR,5,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR2020,11
Arkansas,AR,5,2022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR2022,13
Arkansas,AR,5,2024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR2024,15
Arkansas,AR,5,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR2023,14
